County/Location,City/Town
Greater London,East Ham
East Sussex,Eastbourne
Hampshire,Eastleigh
Nottinghamshire,East Retford
Nottinghamshire,Eastwood
Greater Manchester,Eccles
Staffordshire,Eccleshall
Kent,Edenbridge
Greater London,Edgware
Greater London,Edmonton
Cumbria,Egremont
West Yorkshire,Elland
Shropshire,Ellesmere
Cheshire,Ellesmere Port
Hertfordshire,Elstree and Borehamwood
Hampshire,Emsworth
Greater London,Enfield
Essex,Epping
Lincolnshire,Epworth
Greater London,Erith
Berkshire,Eton
Worcestershire,Evesham
Devon,Exmouth
Suffolk,Eye
Gloucestershire,Fairford
Norfolk,Fakenham
Cornwall,Falmouth
Hampshire,Fareham
Oxfordshire,Faringdon
Surrey,Farnham
Kent,Faversham
Staffordshire,Fazeley
West Yorkshire,Featherstone
Suffolk,Felixstowe
Dorset,Ferndown
Durham,Ferryhill
North Yorkshire,Filey
Gloucestershire,Filton
Greater London,Finchley
Hampshire,Fleet
Lancashire,Fleetwood
Bedfordshire,Flitwick
Kent,Folkestone
West Midlands,Fordbridge
Hampshire,Fordingbridge
Kent,Fordwich
Cornwall,Fowey
Suffolk,Framlingham
Essex,Frinton and Walton
Cheshire,Frodsham
Somerset,Frome
Lincolnshire,Gainsborough
Lancashire,Garstang
Tyne and Wear,Gateshead
Dorset,Gillingham
Kent,Gillingham
Somerset,Glastonbury
Derbyshire,Glossop
Surrey,Godalming
Cambridgeshire,Godmanchester
East Riding of Yorkshire,Goole
Norfolk,Gorleston
Hampshire,Gosport
Cumbria,Grange-over-Sands
Lincolnshire,Grantham
Kent,Gravesend
Essex,Grays
Essex,Great Dunmow
Devon,Great Torrington
Norfolk,Great Yarmouth
Durham,Greater Willington
Lincolnshire,Grimsby
Surrey,Guildford
North Yorkshire,Guisborough
Suffolk,Hadleigh
East Sussex,Hailsham
West Midlands,Halesowen
Suffolk,Halesworth
West Yorkshire,Halifax
Essex,Halstead
Northumberland,Haltwhistle
Norfolk,Redenhall with Harleston
Essex,Harlow
Hertfordshire,Harpenden
North Yorkshire,Harrogate
Greater London,Harrow
Devon,Hartland
Durham,Hartlepool
Essex,Harwich
Nottinghamshire,Harworth and Bircotes
Surrey,Haslemere
Lancashire,Haslingden
East Sussex,Hastings
Hertfordshire,Hatfield
Devon,Hatherleigh
Hampshire,Havant
Suffolk,Haverhill
North Yorkshire,Haxby
Cornwall,Hayle
West Sussex,Haywards Heath
Derbyshire,Heanor and Loscoe
East Sussex,Heathfield
West Yorkshire,Hebden Royd
Hampshire,Hedge End
Staffordshire,Hednesford
East Riding of Yorkshire,Hedon
North Yorkshire,Helmsley
Cornwall,Helston
Hertfordshire,Hemel Hempstead
West Yorkshire,Hemsworth
Greater London,Hendon
Warwickshire,Henley-in-Arden
Oxfordshire,Henley-on-Thames
Hertfordshire,Hertford
East Riding of Yorkshire,Hessle
Tyne and Wear,Hetton
Northumberland,Hexham
Greater Manchester,Heywood
Northamptonshire,Higham Ferrers
Wiltshire,Highworth
Buckinghamshire,High Wycombe
Leicestershire,Hinckley
Norfolk,Hingham
Hertfordshire,Hitchin
Hertfordshire,Hoddesdon
Lincolnshire,Holbeach
Devon,Holsworthy
Norfolk,Holt
Devon,Honiton
Surrey,Horley
Lincolnshire,Horncastle
East Riding of Yorkshire,Hornsea
Greater London,Hornsey
West Yorkshire,Horsforth
Greater Manchester,Horwich
Bedfordshire,Houghton Regis
East Riding of Yorkshire,Howden
West Yorkshire,Huddersfield
Berkshire,Hungerford
Norfolk,Hunstanton
Cambridgeshire,Huntingdon
Greater Manchester,Hyde
Kent,Hythe
Greater London,Ilford
Devon,Ilfracombe
Derbyshire,Ilkeston
West Yorkshire,Ilkley
Somerset,Ilminster
Lincolnshire,Immingham
North Yorkshire,Ingleby Barwick
Suffolk,Ipswich
Northamptonshire,Irthlingborough
Devon,Ivybridge
Tyne and Wear,Jarrow
West Yorkshire,Keighley
Bedfordshire,Kempston
Cumbria,Kendal
Warwickshire,Kenilworth
Suffolk,Kesgrave
Cumbria,Keswick
Northamptonshire,Kettering
Somerset,Keynsham
Worcestershire,Kidderminster
Staffordshire,Kidsgrove
Nottinghamshire,Kimberley
Devon,Kingsbridge
Norfolk,King's Lynn
Greater London,Kingston-upon-Thames
Herefordshire,Kington
Nottinghamshire,Kirkby-in-Ashfield
Cumbria,Kirkby Lonsdale
Cumbria,Kirkby Stephen
North Yorkshire,Kirkbymoorside
Lancashire,Kirkham
Lincolnshire,Kirton-in-Lindsey
North Yorkshire,Knaresborough
Cheshire,Knutsford
Somerset,Langport
Cornwall,Launceston
Surrey,Leatherhead
Gloucestershire,Lechlade
Herefordshire,Ledbury
Staffordshire,Leek
Greater Manchester,Leigh
Bedfordshire,Leighton-Linslade
Essex,Leigh-on-Sea
Suffolk,Leiston
Herefordshire,Leominster
Hertfordshire,Letchworth
East Sussex,Lewes
North Yorkshire,Leyburn
Greater London,Leyton
Cornwall,Liskeard
West Sussex,Littlehampton
Norfolk,Loddon
North Yorkshire,Loftus
Lincolnshire,Long Sutton
Lancashire,Longridge
Herefordshire,Longtown
Cornwall,Looe
Cornwall,Lostwithiel
Leicestershire,Loughborough
Essex,Loughton
Lincolnshire,Louth
Suffolk,Lowestoft
Wiltshire,Ludgershall
Shropshire,Ludlow
Bedfordshire,Luton
Leicestershire,Lutterworth
Kent,Lydd
Gloucestershire,Lydney
Dorset,Lyme Regis
Devon,Lynton and Lynmouth
Lancashire,Lytham St Annes
Lincolnshire,Mablethorpe and Sutton
Cheshire,Macclesfield
Shropshire,Madeley
Merseyside,Maghull
Berkshire,Maidenhead
Kent,Maidstone
Essex,Maldon
Wiltshire,Malmesbury
South Yorkshire,Maltby
North Yorkshire,Malton
Worcestershire,Malvern
Essex,Manningtree
Nottinghamshire,Mansfield
Cornwall,Marazion
Cambridgeshire,March
Kent,Margate
Leicestershire,Market Bosworth
Lincolnshire,Market Deeping
Shropshire,Market Drayton
Leicestershire,Market Harborough
Lincolnshire,Market Rasen
East Riding of Yorkshire,Market Weighton
Wiltshire,Marlborough
Buckinghamshire,Marlow
Cumbria,Maryport
North Yorkshire,Masham
Derbyshire,Matlock
Lancashire,Medlar with Wesham
Wiltshire,Melksham
West Yorkshire,Meltham
Leicestershire,Melton Mowbray
Wiltshire,Mere
North Yorkshire,Middleham
North Yorkshire,Middlesbrough
Greater Manchester,Middleton
Cheshire,Middlewich
West Sussex,Midhurst
Somerset,Midsomer Norton
Suffolk,Mildenhall
Cumbria,Millom
Gloucestershire,Minchinhampton
Somerset,Minehead
Kent,Minster
West Yorkshire,Mirfield
Greater London,Mitcham
Gloucestershire,Mitcheldean
Lancashire,Morecambe
Devon,Moretonhampstead
Gloucestershire,Moreton-in-Marsh
West Yorkshire,Morley
Northumberland,Morpeth
Greater Manchester,Mossley
Shropshire,Much Wenlock
Somerset,Nailsea
Gloucestershire,Nailsworth
Cheshire,Nantwich
Suffolk,Needham Market
Lancashire,Nelson
Cheshire,Neston
Hampshire,New Alresford
Derbyshire,New Mills
Hampshire,New Milton
Kent,New Romney
Nottinghamshire,Newark-on-Trent
Northumberland,Newbiggin-by-the-Sea
Berkshire,Newbury
Staffordshire,Newcastle-under-Lyme
Gloucestershire,Newent
East Sussex,Newhaven
Cornwall,Newlyn
Suffolk,Newmarket
Isle of Wight,Newport
Shropshire,Newport
Buckinghamshire,Newport Pagnell
Cornwall,Newquay
Devon,Newton Abbot
Merseyside,Newton-le-Willows
West Yorkshire,Normanton
Lincolnshire,North Hykeham
Somerset,North Petherton
Devon,North Tawton
Norfolk,North Walsham
North Yorkshire,Northallerton
Devon,Northam
Northamptonshire,Northampton
Kent,Northfleet
Gloucestershire,Northleach with Eastington
Cheshire,Northwich
North Yorkshire,Norton-on-Derwent
Somerset,Norton Radstock
Warwickshire,Nuneaton
Shropshire,Oakengates
Rutland,Oakham
Devon,Okehampton
West Midlands,Oldbury
Greater Manchester,Oldham
Nottinghamshire,Ollerton and Boughton
Buckinghamshire,Olney
Essex,Ongar
Suffolk,Orford
Lancashire,Ormskirk
West Yorkshire,Ossett
Shropshire,Oswestry
West Yorkshire,Otley
Devon,Ottery St Mary
Northamptonshire,Oundle
Kent,Paddock Wood
Lancashire,Padiham
Cornwall,Padstow
Devon,Paignton
Gloucestershire,Painswick
Greater Manchester,Partington
Gloucestershire,Patchway
North Yorkshire,Pateley Bridge
East Sussex,Peacehaven
South Yorkshire,Penistone
Staffordshire,Penkridge
Cumbria,Penrith
Cornwall,Penryn
Lancashire,Penwortham
Cornwall,Penzance
Worcestershire,Pershore
Durham,Peterlee
Hampshire,Petersfield
West Sussex,Petworth
North Yorkshire,Pickering
East Riding of Yorkshire,Pocklington
East Sussex,Polegate
West Yorkshire,Pontefract
Northumberland,Ponteland
Dorset,Poole
Cornwall,Porthleven
Somerset,Portishead and North Weston
Dorset,Portland
Bedfordshire,Potton
Cheshire,Poynton-with-Worth
Lancashire,Preesall
Merseyside,Prescot
Buckinghamshire,Princes Risborough
Northumberland,Prudhoe
West Yorkshire,Pudsey
Kent,Queenborough-in-Sheppey
Cambridgeshire,Ramsey
Kent,Ramsgate
Northamptonshire,Raunds
Lancashire,Rawtenstall
Essex,Rayleigh
Berkshire,Reading
North Yorkshire,Redcar
Cornwall,Redruth
Norfolk,Reepham
Surrey,Reigate
Greater London,Richmond
North Yorkshire,Richmond
Hampshire,Ringwood
Derbyshire,Ripley
North Yorkshire,Ripon
Greater Manchester,Rochdale
Kent,Rochester
Essex,Rochford
Greater London,Romford
Hampshire,Romsey
Herefordshire,Ross-on-Wye
Northumberland,Rothbury
South Yorkshire,Rotherham
Northamptonshire,Rothwell
West Yorkshire,Rothwell
West Midlands,Rowley Regis
Warwickshire,Royal Leamington Spa
Kent,Royal Tunbridge Wells
Wiltshire,Royal Wootton Bassett
Hertfordshire,Royston
Warwickshire,Rugby
Staffordshire,Rugeley
Northamptonshire,Rushden
Isle of Wight,Ryde
East Sussex,Rye
Essex,Saffron Walden
Cornwall,St Austell
Cornwall,St Blaise
Cornwall,St Columb Major
Merseyside,St Helens
Cambridgeshire,St Ives
Cornwall,St Ives
Cornwall,St Just-in-Penwith
Cornwall,St Mawes
Cambridgeshire,St Neots
Devon,Salcombe
Greater Manchester,Sale
Cornwall,Saltash
Cheshire,Sandbach
Berkshire,Sandhurst
Derbyshire,Sandiacre
Isle of Wight,Sandown
Kent,Sandwich
Bedfordshire,Sandy
Hertfordshire,Sawbridgeworth
Suffolk,Saxmundham
North Yorkshire,Scarborough
Lincolnshire,Scunthorpe
East Sussex,Seaford
Durham,Seaham
Devon,Seaton
Cumbria,Sedbergh
North Yorkshire,Selby
West Sussex,Selsey
North Yorkshire,Settle
Kent,Sevenoaks
Dorset,Shaftesbury
Isle of Wight,Shanklin
Bedfordshire,Shefford
Leicestershire,Shepshed
Somerset,Shepton Mallet
Dorset,Sherborne
Norfolk,Sheringham
Shropshire,Shifnal
Durham,Shildon
Warwickshire,Shipston-on-Stour
Derbyshire,Shirebrook
West Sussex,Shoreham-by-Sea
Shropshire,Shrewsbury
Devon,Sidmouth
Cumbria,Silloth
West Yorkshire,Silsden
Lincolnshire,Skegness
Lancashire,Skelmersdale
North Yorkshire,Skelton-in-Cleveland
North Yorkshire,Skipton
Lincolnshire,Sleaford
Berkshire,Slough
West Midlands,Smethwick
East Riding of Yorkshire,Snaith and Cowick
Kent,Snodland
Cambridgeshire,Soham
West Midlands,Solihull
Somerset,Somerton
East Riding of Yorkshire,South Cave
West Yorkshire,South Elmsall
West Yorkshire,South Kirkby and Moorthorpe
Devon,South Molton
Somerset,South Petherton
Tyne and Wear,South Shields
Essex,South Woodham Ferrers
Warwickshire,Southam
Greater London,Southall
Kent,Southborough
Essex,Southend-on-Sea
Greater London,Southgate
Essex,Southminster
Merseyside,Southport
Hampshire,Southsea
Nottinghamshire,Southwell
Hampshire,Southwick
Suffolk,Southwold
Lincolnshire,Spalding
Durham,Spennymoor
Lincolnshire,Spilsby
Staffordshire,Stafford
Surrey,Staines
South Yorkshire,Stainforth
Dorset,Stalbridge
Norfolk,Stalham
Greater Manchester,Stalybridge
Lincolnshire,Stamford
Durham,Stanley
Durham,Stanhope
Nottinghamshire,Stapleford
Derbyshire,Staveley
Hertfordshire,Stevenage
West Sussex,Steyning
Greater London,St Mary Cray
Greater Manchester,Stockport
South Yorkshire,Stocksbridge
Durham/North Yorkshire,Stockton-on-Tees
Staffordshire,Stone
Gloucestershire,Stonehouse
Buckinghamshire,Stony Stratford
Bedfordshire,Stotfold
West Midlands,Stourbridge
Worcestershire,Stourport-on-Severn
Suffolk,Stowmarket
Gloucestershire,Stow-on-the-Wold
Warwickshire,Stratford-upon-Avon
Greater Manchester,Stretford
Kent,Strood
Gloucestershire,Stroud
Dorset,Sturminster Newton
Suffolk,Sudbury
Greater London,Surbiton
West Midlands,Sutton Coldfield
Norfolk,Swaffham
Dorset,Swanage
Kent,Swanley
Kent,Swanscombe and Greenhithe
Wiltshire,Swindon
Leicestershire,Syston
North Yorkshire,Tadcaster
Hampshire,Tadley
Staffordshire,Tamworth
Somerset,Taunton
Devon,Tavistock
Devon,Teignmouth
East Sussex,Telscombe
Worcestershire,Tenbury Wells
Kent,Tenterden
Gloucestershire,Tetbury
Gloucestershire,Tewkesbury
Oxfordshire,Thame
Berkshire,Thatcham
Essex,Thaxted
Norfolk,Thetford
North Yorkshire,Thirsk
North Yorkshire,Thornaby-on-Tees
Gloucestershire,Thornbury
South Yorkshire,Thorne
Norfolk,Thorpe St Andrew
Northamptonshire,Thrapston
South Yorkshire,Tickhill
Wiltshire,Tidworth
West Midlands,Tipton
Wiltshire,Tisbury
Devon,Tiverton
West Yorkshire,Todmorden
Kent,Tonbridge
Devon,Topsham
Devon,Torpoint
Devon,Torquay
Devon,Totnes
Greater London,Tottenham
Hampshire,Totton and Eling
Durham,Tow Law
Northamptonshire,Towcester
Hertfordshire,Tring
Wiltshire,Trowbridge
Greater London,Twickenham
Tyne and Wear,Tynemouth
East Sussex,Uckfield
Cumbria,Ulverston
Rutland,Uppingham
Worcestershire,Upton-upon-Severn
Staffordshire,Uttoxeter
Greater London,Uxbridge
Isle of Wight,Ventnor
Dorset,Verwood
Cornwall,Wadebridge
East Sussex,Wadhurst
Lincolnshire,Wainfleet All Saints
Merseyside,Wallasey
Tyne and Wear,Wallsend
Oxfordshire,Wallingford
West Midlands,Walsall
Essex,Waltham Abbey
Hertfordshire,Waltham Cross
Greater London,Walthamstow
Surrey,Walton-on-Thames
Oxfordshire,Wantage
Hertfordshire,Ware
Dorset,Wareham
Wiltshire,Warminster
Cheshire,Warrington
Warwickshire,Warwick
Somerset,Watchet
Hertfordshire,Watford
South Yorkshire,Wath-upon-Dearne
Oxfordshire,Watlington
Norfolk,Watton
Northamptonshire,Wellingborough
Shropshire,Wellington
Somerset,Wellington
Norfolk,Wells-next-the-Sea
Shropshire,Wem
Greater London,Wembley
Buckinghamshire,Wendover
Northumberland,West Bedlington
West Midlands,West Bromwich
Greater London,West Ham
Kent,West Malling
Essex,West Mersea
Essex,West Tilbury
Wiltshire,Westbury
Kent,Westerham
Greater Manchester,Westhoughton
Somerset,Weston-super-Mare
West Yorkshire,Wetherby
Surrey,Weybridge
Dorset,Weymouth
Derbyshire,Whaley Bridge
North Yorkshire,Whitby
Hampshire,Whitchurch
Shropshire,Whitchurch
Cumbria,Whitehaven
Hampshire,Whitehill
Warwickshire,Whitnash
Cambridgeshire,Whittlesey
Lancashire,Whitworth
Hampshire,Wickham
Gloucestershire,Wickwar
Cheshire,Widnes
Greater Manchester,Wigan
Cumbria,Wigton
West Midlands,Willenhall
Greater London,Willesden
Wiltshire,Wilton
Greater London,Wimbledon
Dorset,Wimborne Minster
Somerset,Wincanton
Gloucestershire,Winchcombe
East Sussex,Winchelsea
Cumbria,Windermere
Berkshire,Windsor
Cheshire,Winsford
Buckinghamshire,Winslow
Lincolnshire,Winterton
Derbyshire,Wirksworth
Cambridgeshire,Wisbech
Essex,Witham
East Riding of Yorkshire,Withernsea
Oxfordshire,Witney
Somerset,Wiveliscombe
Essex,Wivenhoe
Bedfordshire,Woburn
Buckinghamshire,Woburn Sands
Surrey,Woking
Berkshire,Wokingham
Durham,Wolsingham
Buckinghamshire,Wolverton and Greenleys
Greater London,Wood Green
Suffolk,Woodbridge
Berkshire,Woodley
Oxfordshire,Woodstock
Northumberland,Wooler
Cumbria,Workington
Nottinghamshire,Worksop
West Sussex,Worthing
Gloucestershire,Wotton-under-Edge
Lincolnshire,Wragby
Norfolk,Wymondham
North Yorkshire,Yarm
Isle of Wight,Yarmouth
Gloucestershire,Yate
Hampshire,Yateley
Somerset,Yeovil
